reviews,rating
"McDonald's is ok. I just wish they wouldn't pester people in leaving while the kids are playing in the play place. I mean I get the no loitering, but we bought food, and kids are just trying to play and they didn't really finish their own good. They just wanted to enjoy the empty play area",3 stars
"I have ordered many times from this mcdonalds, how do you screw up a cheeseburger? I asked for no ketchup, no mustard, no pickles, no onion. I got no condiments and NO MEAT! I mean really, learn to read and pay attention. This is my 3rd time this has happened.",1 star
"Extremely rude and impatient. I asked for 3 water cups with my 40$ meal and I got a glare and only one cup.  Then my brother who ordered a 20 piece nugget went up to ask for sauce because they didn't include any that we asked for, after waiting patiently and then asking several times he got 2 of the 4 he asked for.  He came back frustrated with only 2 so I told him to go back for more. He asked the manager 4 times to her face very nicely for 2 more and she just looked at him each time and went the other way. Eventually a kind fellow customer next to him reached over the counter and just took sauce for my brother. Not impressed",1 star
Double check your orders. I got someone else order and when i took it back. The employee placed it back to give it to someone else. I told her I touched the burger to throw it away. She looked at my face and lie that she threw it away. Horrible attitude from the cashier. Order was not completed.,1 star
Female cashier was rude and was very unprofessional. If you are a tourist and don't know when it is cash only you don't get a receipt do not yell at the customer like we supposed to know what is going on. The only good thing about going was lemuel he was a great help. I would not want the girl to serve us with that attitude.,2 stars
"Long line at kisok, which was only way to order due to lack of staff. Difficulty using my coupon since ordered from kiosk. Tea was weak, had been sitting awhile. Terrible experience",1 star
"Worst customer service ever!! I was invited to come in after having to wait over 45 minutes on the drive thru. Manager Priscilla calls me to apologize and invites me back with my family, I explained I cannot come back next day, but would come following Sunday, she agreed and hung up. On Sunday I come to the restaurant and there is another manager Cynthia who I explained the situation and she grunted the whole time she took the order. While on the service line, she tries to contact the manager and right there from behind the line, she asks me yelling, what is your name, I tell her and again in front of EVERYONE, other customers included, yells again, ""she tells me you came in already!!"" I replied NO, at this point I'm embarrassed and upset and I hear her that she tells the person on the phone I already put it down. Twenty minutes later, I finally get the order. I ask her to change the fries on some of the things that were ready because they were cold. The manager grunts and agrees to. After my family were done with their meals, we had ordered ice cream and we asked to hold off until we were done. When we returned, we asked for the ice cream and we had asked for chocolate, they said that we had ordered vanilla and the manager gave us one less of what we ordered. Incredible! Bottom line, we were invited to come back to make it up for bad service and McDonald's came through, we got yelled at by the manager, embarrased, long wait for food, missing food items, and pissy attitude by staff. Next time I get invited back I guess I gotta read the fine print or ask for what am I invited to come back for. Sorry that we don't have negative stars because this location would take them all.",1 star
Only go here because it's open late. Food not always the same presentation or great tasting..but it is McDonald's. What do you expect.... You know when you go there what you're getting. Cheap food..poor customer service.. And maybe your order correct.,2 stars
"They had a broken latte machine.  The kiosk already had our CC deposit.  It took very long to receive our CC refund because the manager had to perform the business, and the restaurant was overly crowded.  They used to make great cappuccinos, but it got to be too loud, and those machines broke more frequently than lattes'.",5 stars
There is a theme with drive thru only restaurant's cold food and watered down drinks and if don't check your bags well enough before you drive away and your order is wrong you can't just walk back inside and get it fixed you have get back in line and start all over again! Open up the lobby people,2 stars
Slow. Food often old.,3 stars
This is one of the busiest McDonald's I have ever seen. Very modern inside. Most people were getting food to go so there was plenty of room to sit but so many people waiting for food. At least it was very fresh!,4 stars
"If Mc D thinks Kiosk service is the future, I would SELL My Stock!
Probably the Worst Mc D experience I have Ever had...",1 star
This place is ridiculously high compared to the McDonald's just down the street. $20 for what is normally $10. On top of it didn't even ask if I wanted any sauces with my chicken McNuggets. Do yourself a favor and drive the extra couple of miles to any other McDonald's,2 stars
Good for a quick bite on the go with a busy day right across the street from Old Town this place is got an indoor playground which is nice. The kids enjoyed it the one time we came in and stopped and let them play. Unfortunately the last time we came through the drive-thru and there was a vagrant near the one entrance so that was a little unsettling other than that has McDonald's go it was okay,3 stars
40 chicken nuggets and 2 large fries for 15 bucks!! Also the ice tea is the best in Florida,5 stars
So disappointed... I entered this restaurant only to be confronted with a computer taking my order..  which was Not working!! No one noticed we were having difficulty.  So frustrating. Wont come here again for a long time!,2 stars
"Food and service was good , but not enough  working personal",5 stars
"The service used to be good, but nowadays it sucks! I always order by the app and they make me wait over 20 min, I got out of my car and with a no really happy face they gave me my order, the place was dirty and didnï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t smell good at all, you ne",1 star
"the drive-thru line is super long and aside from that, the people who should be taking your order there don't even answer when you get to the ordering station. It took us about 15 minutes to get a simple order and that was too long.",2 stars
One worker was very rude and I over heard him cussing at another customer. My order was wrong and I had to go back to get it fixed.b,1 star
Great workers were very helpful. Eating area play area were clean. Men's bathroom was quite messy and the toilet paper holder was torn off the wall. Overall will come again.,4 stars
Sat in drive thru for very long time to be told no fountain drinks no frappes no coffee and food was meh,2 stars
Nice place to eat anytime you want. They are very busy. People come by the bus loads to eat hamburgers all over. It's a tourist trap. Cheap and hot food. Your money goes far. Most people go there for a quick meal and internet which is free.,5 stars
"3 stars for being a clean and friendly McDonald's but it'll never be a 5 star stop because they NEVER have ice cream. Doesn't matter where you go there's a 90% chance they are out or the machine is down. Morning? Down. Afternoon? Down? Nighttime? Down. Halloween? Down. On Halloween?! Yes, completely down all night. I know that ice cream machines being down is a running joke but this location is the king of it.",3 stars
"The staff here is not friendly at all. Where I grew up, you greet somebody, or at least say something. The drinks tasted horrible.",1 star
"Absolutely Terrible Food ! No OPTIONS for Anything even remotely Healthy,  The staff is polite,  but McDonald's You WILL continue to lose business!  People are finally looking at All the disgusting ingredients that's in the production of your food. Even the yogurt has MORE SUGAR THAN A SUNDAY , I wouldn't even recommend the fries , Unless you want a Heart attack , with  a side of High blood pressure and Diabetes with a POSSIBLY of cancer, then okay go for it .",1 star
"Absolutely the worst service! They ""can't figure out the mobile app orders"" when asked how to fix issues with long wait times the ride staff just says ""what do you want me to do?"" If you like people being rude to you and very slow service this is your place to not eat!",1 star
Very close to Disney.  Clean and quick service.,3 stars
"They did not get my order right at the drive-thru, so I had to go back and was late for work",3 stars
Seems like the more one goes to this location...the worse it gets....toasting an English muffin should not be a difficult task... it wouldn't be bad....but lying about toasting it .......Shame on them.....apparently after a certain hour it is..not a priority to make decent food for the public......or decent fries...not to mention a double cheeseburger... simply gross.. Good grief....this place is certainly disappearing from my list of quick stops...to keep going by  cause Checkers is right down the road...,1 star
Have to place your own order. They forgot some of our food. Bathrooms smelled. Play area still closed.,3 stars
"Very busy. Very dirty. One cashier and at least 10 people working. Line was long, the boy taking orders was moving at half the speed of smell.

I watched four groups walk out. We should have followed.",2 stars
"I have been staying at the Holiday Inn next door to the McDonald's for four days now. Every morning we walk over to McDonald's to get bacon, egg, and cheese biscuits and hash browns. EVERY SINGLE MORNING that we've went over there, we have gotten hard, rubbery, cold, biscuits. Their hash browns are hard as well, and there is so much grease that it runs down your fingers when you pick it up.

I called the manager and she was very polite and replaced my breakfast with ""better biscuits"". However, the replacement biscuits were undercooked. They were very doughy. I do not recommend this place to anyone. The convenience to the hotel is not worth the terrible food.",1 star
"Just went and got 4 McChicken, 1 Large French fry a medium one and a cheeseburger.

The entire order was old. French fries were saggy like and old lady titis. The McChicken tastes like they were cooked a month ago. Aaaah wait no coke because the machine was down. First is the shake machine and now the coke. Come on man. Worst MCDONALD Ever fuuuuck",1 star
"Totally hit or miss.. Old town is near by . So Friday nights and weekend's are busy at night. However, decent staff and consistent with the chains food quality.",3 stars
I visited this McDonalds on my way home from Walt disney world with my kids 8 and 13. I went through the drive through so I could get back on the road to get home our order was not right onions on everything we asked for no onion and short a French fry. Also has no ketchup in the bag and I asked for more because our kids use a lot and was told no it was in the bag. I do not recommend the drive through.,2 stars
Horrible service. General manager was in the store at the time. Was punishing an employee in front of everybody. Should've been more professional and took him in the back area. I waited 10 minutes no one in front of me and no one in the drive thru and my food still was not fresh. Don't recommend this location unless you can't get to a different location.,2 stars
"Very busy,  mad customers, long wait times for orders.  The staff is trying their best but can't keep up.  They need a new streamlined process and only one conductor.",2 stars
Food was fine but line at drive thru was slow possibly because girl working window was more interested in texting then waiting on customers,4 stars
"I guess when you're in a tourist area you don't have to worry about pleasing your local customers for return business. Stale burger buns, cold and burnt french fries.  Medium fries box was about 2/3 full.  Drive thru employee didn't say two words to me beyond the price of my meal.",1 star
It's a good place for fast food,4 stars
The Asian looking manager killed my vibe. I was asking questions about their cafe drinks in a bubbly tone and he just replied in a really monotone voice. I was trying to make conversation and he just ignored me.... now I feel awkward as hell...,3 stars
The line for drive thru was out to the street! Not their fault it is not the first time. Once I got to pay point it was quick.,4 stars
I went through the drive-thru at this location and ordered a big Mac a large fry two McDoubles as well as a medium caramel frappe however when I return to my room the big Mac was missing as well as the cookies so I drove back up to the location I've now been sitting here over 20 minutes and nobody has come outside to let me know what was going on I would highly recommend finding another McDonald's to go to seeing as they don't seem to care about their customers,1 star
Not enough staff to take orders. While I had a very basic order it was wrong. Didn't make a big deal just left. Very clean restaurant however!! Also needs to have more English speaking associates,3 stars
"The worst McDonald's I've been to! Went in around 10 maybe 11 at night after visiting disney on the way back to our hotel. Went inside because the drive through line had at least 10 cars, no big deal. I was ordering a carryout. Anyways they forgot the chicken nuggets for the 10 piece chicken nugget meal. I wasnt about to bring my two little ones back out so I called the store. I told them what had happend and said I would be back sometime tomorrow afternoon and to just get it then (my boys love McDonald's) she said that would be fine and she would be there the next day. I asked her name but it couldn't really understand what she said because she was talking fast. Anyways I go back the day and told the lady at the drive through what happend, she didn't know what to do and had to get a manager the manager comes on and asks who I spoke to and I told her I didn't remember but she said to bring my receipt in and she would take care of it. Manager didn't believe me. I ended up just buying another one and I know its literally only a few dollars but it was the principal.",1 star
"Quarter pound CB although made correctly with no onions was raw in the middle (not noticed until my husband was already almost done eating) then he just threw it away, hopefully he does not get sick. Kids meal CB ordered with no onions (not rang up that way) was covered in onions! Lessons here: cook outs not being done to make sure on quality & not serving raw product & cashier needs a little more training....because when I ordered my CB kids meal with no onions & a Large diet cook as the drink. He did not put on there the no onions & then asked me what did I want to drink.",1 star
"It's really ridiculous that I'm coming every day for my breakfast at this branch and they don't care about customer satisfied, every morning I ordered 2 hot coffe and they gave me cold one! Again and again it happened",1 star
"If this is the location next to Old Town, I love it. My food was fresh and everybody read accommodating ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",5 stars
"Tepid food after waiting 15 min is not cool.  Florida McDonald's needs to step up its focus on food preparation.  When their fries are hot and fresh you can't get enough.  But cold #""%$= enough said",3 stars
"If I could give it NO STARS, I would!!  We waited MORE then 20 mins (inside) for our breakfast!  Ok. I can see if you are that busy & need to make the food...after 30 minutes we got cold food & the hashbrowns were so dripping in grease (and cold)....disgusting!",1 star
Food was good don't like self order screens,4 stars
Great location friendly service pleasant staff!! Our food was delivered fast and hot. I ordered coffee and it came out just as expected! Hot and delicious!,5 stars
"Truly one of the best Mc Donald's I've every been to! Best fries, the Big Mac actually looked like the photos you see! Being close to Disney, this location clearly works hard to make a great impression on tourists and it shows.",5 stars
"Morons running the restaurant. The $6 meal is a rip off. We asked if we could get the same deal but sub a side salad. They said yes then they over charged us and yold us ""oh no substitutions."" Watch your tickets and repeat your order three times so the cashier and shift supervisor understand what you actually want.",1 star
1st night in Orlando in vacation. Drive thru was packed so we went inside. Waited for 10 minutes and manager said lobby was now closed and we had to leave,1 star
"The place was clean, the washroom stalls needs repairs and it was clean but smells like urine big time. Staff are friendly and helpful. Thanks, Rick Stasiuk, Wetaskiwin Alberta Canada T9A 3R2",4 stars
"The girl who takes the payments is SO RUDE! If you hate your job, look for something else or at least treat people nice.",1 star
This is quite possibly one of the worst mcdonalds I have ever been to. Multiple times we have ordered mobile and whenever there is an issue the manager on duty blames us. He even felt the need to come out to my car and berate me over it.,1 star
"During the Daytime its alright, but at night they block one of the entrances with trash cans and lock the other one. (EVEN THOUGH THE SIGN STATES 24HR DINING ROOM) So you're forced to drive through. I didnt expect much but whatever....",2 stars
"This particular McDonalds across from Old Town, is a hit or miss and I went to try the new chicken strips as an entre with my #4 chicken sandwich meal.  Before I left the lot from the drive through I checked everything.... The strips needed more cook time ""my opinion"" so I brought them inside and made the request.... Now it's McDonald's... you should expect some kickback or something but to my surprise I was really shocked and amazed that the order lady took it, told the M.O.D. and he says he can take care of it, he just needed about 5mins I told him no problem and waited. Now when I did receive it, he made sure he gave it to me, and when I got home to my surprise added an extra strip! 4 of 5 stars because the chicken sandwich was very delicious and the service blew me away but the strips I just didn't like.",4 stars
"Today Monday December 19 , 2016 This McDonald's Restaurant Has A Wonderful Services The Employees Name Is Miss Caprice & Very Happy & So Sweet & Very Helpful Food Is So Good The Morning Breakfast & The Hot Coffee & Ice Coffee Awesome The Big Breakfast Just Love It & They Have A Play Area For Your Kids To Run Around Fantastic Idea & Great Job McDonald's Restaurant Putting A Play Area For The Children To Play Around Perfect My 100% I Will Definitely Give You !!",5 stars
"Read down place has changed a lot! Getting to be excellent place to go!

Not good, new construction is nice. But understaffed. Even at 2-3am you can walk in and find over half of the tables covered with trays and garbage. Also the floors heavily littered. Yes you are supposed to buss your own table at a fast food restaurant, but alot of foreign/domestic vacationers are just filthy. They just drop food and wrappers everywhere. When they are done eating they just get up and leave.
Host/busser is needed for the dining area for the sloppy pigs. More register coverage for the guests. When a crowd of people have to go through one register while the kitchen staff waits for orders is inefficient.
I have had 2-3 errors in my 8 visits. First one was when they put extra mustard on burger instead of adding mayo. Second was they ran out of hot fudge and instead of telling me they used the coffee chocolate topping for my Sunday's (yes 2 of them).
I caught the first error quickly and was easily fixed properly by management before I left. The 2nd error wasn't caught till we where eating the Sunday's at home. I took one back as proof of the error to get a refund. At first they only wanted to refund one but with several minutes of bickering they refunded both. Yeah it was only $1 and some change but it was the principal.
I walk to and from the restaurant since I have no car it is about one mile away from my home. I always request 2 plastic bag's for my food because the one paper bag they put my 6-8 burgers fails halfway home. The 2nd one is for the 3 Sunday's.

Another epic failure, ordered 2 mcdouble no mustard and onions. 2 bacon mcdouble  and 2 mcdouble regular. Received the 2 mcdouble wo/mustard and onions no problem. 2 bacon mcdouble had no bacon and no mustard fail. 2 regular mcdouble had no mustard either fail. 2 large fries ordered and received 2 medium sized fries and 2 of the smallest sized fries I've ever seen (guess they where kids sized) fail. The 20 peice fry came without incident. Less than 1/2 of the whole order came correctly....
7/16
Getting better and better, the manager Monique she runs a tight ship. Every time I'm in and she is there every thing is smooth sailing. A great thank you for your great service Monique!
7/18
Wow place was packed! Was able to wait just a short time and got my order. Looked around and yep there she was Monique steadily coordinating the staff! Must of been 30+ people in line only 5 min wait. Later I saw her again in the lobby assisting a guest with her drinks, both with smile's on.",4 stars
I used to love this location. It is the close one to my home. But lately the service has gone down hill. Mostly through the drive thru where I usually get most of my orders! New management or what? Please quit thanking me so much and get my order right. Oh and when I say two cremes and 4 splendas in my coffee get it right. This morning the sticker they put on the coffee said 3 cremes and 4 sugars. I am diabetic. I tested it and it was not right so I waited to get to work and put one more splenda thinking they had not put the right amount. Drank about half when I noticed the sticker. That coffee affected my health because of the sugar! Their is kore but why bore you. Hope they change.,3 stars
"This Mcdonald was very clean, the employee was so respectful I enjoyed eating here. The restroom was clean I actually allowed my little one use the restroom without worrying. The play house full of kids and very playful",5 stars
I had an order that was wrong. I went back the next morning and the manager gladly fix the mistake he was very professional very kind and I love this McDonald's I eat here almost every morning. It is a very good location the managers are very professional and friendly and I highly recommend this McDonald's above almost any other I've been to,5 stars
Prince took my money and was a wonderful human being to transact with. He paid attention and knows how to give solid dollar bills change by asking for 55 ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,5 stars
I've been at this location a couple times. Definitely a faster service compared with the ones i've visited so far. The lady at the drive thru seem like she actually cared so that's always a plus,5 stars
Ordered mcdouble bundle no ketchup light onions and extra mustard I got cheese and pickles. The fries were terrible and my drink was fine.,2 stars
"& then they complain they get paid min wage. I'm aware this is a fast food place, so I don't expect to be treated like royalty, but the service here is extremely slow. The staff have no customer service. Avoid this place, unless you are literally in love with waiting",1 star
The never has the coke icee.,2 stars
"I had a great experience here. It's a very high traffic store but kids pretty clean, the staff was helpful and we got our food in less than 10 minutes after ordering from the kiosk.",5 stars
I work at Ponderosa Steakhouse next door to this McDonalds. I have visited this location many times. When there is no business and its slow the workers just stand around talking like nothing going on. I've tried to place my order many times in hopes that I'd receive my food fast enough to get my food and head to work next door before I have to clock in and start my shift. The management is slow and doesn't help out as I figured they wouldn't. My mother went here as well after dropping my off at work to only experience this as well. Many people have to wait foreverrrrr just to get a simple order. The last time I went I just ordered an ice coffee French vanilla and instead of handing me the ice coffee they placed it besides a counter and made me wait 12 minutes for it. I didn't ask anyone this time because im just feed up with this location. If you want McDonalds DO NOT! and I repeat DO NOT VISIT THIS LOCATION!!! They care more about drivethrew then there customers eating inside or taking it to go!!!!!! I'd rare this place 0 if I could.,1 star
Was given completely the wrong order after having to wait more then 10 minutes for what should have just been 2 burgers and fries. Called repeatedly to explain the error and got a busy tone every time.,1 star
"Terrible service. Manager laughed in my face when I told them I was not satisfied with my food and service. I ordered the big breakfast without hotcakes. The eggs were old and half the portion that I normally get at any other location, the soda was flat, the coffee was cold and the staff is rude. This place should be shut down. Absolutely the worst McDonalds I've ever been to in my life.",1 star
I always go out of my way to go to this McDonald's they always make their french fries right well the way I like them the food is always hot service is always good looks like they're taking all covid precautions I recommend this one across from old Town,5 stars
Worst experience ever long wait. Then when I got to window waited again. Till I literally had to ask WHY AM I STILL WAITING FOR MY FOOD. as bags were sitting right in front of me.. Total wait time at this McDonald's was like 20 mins. RIDICULOUS..,1 star
chicken nuggets had a lot of those chewy fat pieces and was stiff. if ur gonna eat here get a burger or sumn. Fries were tasty tho!,3 stars
The line was long but they moved us right along all employees were friendly and courteous the food was fresh and hot I will definitely go back to this McDonald's again,4 stars
Sitting in line at drive thru for 30 minutes.  Inside closed for whatever reason.  If your drive thru has a 30 min wait then why would walk up be closed? The owner of this place is an idiot.,1 star
"Drive thru was closed today. 10/9 at 3:45am. Is it still 24 hours if the drive thru is closed and the dining room as well? Park your car and wait, or drive 7 min down the road to the next one....oh the options.",1 star
They forgot about me in the drive-thru after asking me to pull to the third window. If I could leave 0 stars I would. Finally went into the store to see my bag sitting on the counter for so long it needed to be remade.,1 star
"In a pinch, it's food. My burger was slipped all over the inside of the wrapper and floating in grease. I just ate the dry parts. My husband's chicken sandwich came without any of the toppings and completely drenched in mystery dressing. Fries were super old and had that old grease fishy taste. Sodas (coke and Dr Pepper) were next to flat.

We were starving after a long hot day so, we just ate it and tried not to think about it.",1 star
"The Service is bad in special the drivetrue they never give the food correct and management are worse that the bad service that people receive they do not know the meaning of customer service. That McDonald's need to change does managers or give them a good training in customer service, courtesy and Ethical!",1 star
"One of the better McDonalds.  Fast, accurate, clean.",5 stars
"I love McDonalds.  Been in my life all my life.  No bigger disappointment than waiting for my meal and getting lukewarm fries.  This one gave me lukewarm fries after I waited 15 minutes for my meal.  I hold McDonalds to a very high standard and, for me, the fries make the meal.  No exception!!",4 stars
"I used my McDonalds app and got some crazy discounts... but I'm still unsatisfied. The food is sad and old. Mr. Happy at the Expo looked like his life was over and didnt know anything about customer service.  The iced coffee was basically milk and creamer minus the coffee. I know this is fast food but damn, you guys didnt even try today.",1 star
Breakfast was good and the meals were delivered to the window accurately.,4 stars
"Slowest, most under staffed McDonald's I have ever been, everyone honking on the drive trun, people screaming they have been waiting forever, very stressful environment.",2 stars
"Manages to allow something to screw up anything Everytime! I came here for 6 days in total. Normally I do not eat at McDonald's but this place is very close to where I'm staying.

They have new electronic ordering system using touchpad on giant vertical screen. Still gets my order wrong 80 percent of time... What? Asks me what drink I want. Then I just get the cup so why ask me? One day, I leave the locator number on table while I go bathroom. Locator and food is gone. Takes me a while to get it sorted out.forgets my drink {again)

One sauce dispensor just explodes pop knocks the container out of my hand under strong pressure. Gets little sauce on my clothes, not too bad but Jesus Christ... One night, lot of drinks do not work except for coke (yuk)  few other things not worth mentioning. They get swamped a lot nad hardly can keep up.

Otherwise place is relatively new looking as well as private bathroom with your own stall and sink. Clean.",2 stars
"Very clean and well organized McDonald's.  McDonald's even has an indoor play area for kids, with a slide. I would highly recommend eating here on a rainy vacation day to allow your children a chance run off a little energy.",5 stars
Very disappointed that there was no indoor seating. Doors were locked. Drive-thru only. Needed to sit at a table and eat. Decided to eat elsewhere.,2 stars
I ordered off the screen. It said take number and they will bring it to the table. Well the manager got my order together and got it totally wrong and then stood up there call the number and made me come get it. Did not receive any of my drinks. Went back up there a day the manager was not nice at all. Will not visit again.,1 star
Don't like to order on a machine,3 stars
Service was fast but quality of food was disappointing on both trips,4 stars
Amazing! The best McDonald's food I've ever had. Missing food I had to go back for but well worth it. The food made it okay. I didn't mind the inconvenience.,5 stars
The manager Cassandra is very rude to customers and very unprofessional they did not acknowledge people standing at the register and then I asked if they were taking orders they reply with that's why the kiosks are there two customers walked. I work for Uber Eats as a driver picking up food and then I experience very unpleasant,1 star
Ridicules they still have the dining room closed. Even for take out . Not everyone can go through the drive through due to a truck and trailer .,1 star
Slow service and the apple slices were out of date,3 stars
"They forgot to put in the toy, milk and plum sauce in our kids happy meal and forgot the salad dressing for our meal. Never have I seen such a terrible Mc Donalds in my life. I have been in them all over the  world with constant quality till now",1 star
"Went to eat at 3:40 am.  And the guy tells me that there's only mc chicken sandwiches. And that's all.  And if I wanted breakfast, I'd have to wait till 4 am.  Ridiculous.",1 star
3 trips here for a collective total of 45 minutes spent... They can't figure out the two lane ordering system... This is not FAST food by any stretch of the imagination... McDonald's are everywhere... Find a different one.,1 star
I was robbed.  I was charged on my bank card. and i was again charged cash.   I paid twice.  and got no refund.  all I got back. was a threat and an attitude.  no cash back,1 star
"Very modern McDonald's, you have a kiosk where you can order and they brink your food to you. They also have a nice pkayplace for kids which looked new and we'll thought out with touchscreen computers for older kids. Very nice!",4 stars
Fast Friendly Service at McDonald's I get plain Hamburgers across from World Famous old Town Tourist Resort and Car show in Kissimmee Florida,5 stars
"Employees in the drive thru were rude, they forgot to put napkins and straws in the bag, and when they brought the order to us in the parking spot they thrust it at my husband with a ""here"" and walked off. Very rude.",1 star
Food was on point and the order correct. .. Very generous with the sauces.. this area has great places,4 stars
This is a very clean and nice McDonald's. Conveniently located. Easy on and off the highway.,4 stars
They got my order right. Didn't have to wait long for food. Great place to go for late night eating.,5 stars
Very deception what would everything that's done okay you go online then you got to go you go online and then then when you get there so it's a cop car order they looking at anything the way it should be looking at they say it's a big game it's like a game that would have been cheaper for me to buy what's on special than it was to use the app,3 stars
Food is slow to arrive 17 mins for a mc double...  Most of the Management team is horrible and rude. The young shorter Hispanic lady manager is an asset and needs to be recognized..,3 stars
"Right across the road from Seralago Hotel, this was a great spot to walk over to and grab a quick, cheap breakfast. It's also situated in the strip of gift shops and across from ""Old Town"" amusement park, so it is very convenient to eat at when visiting those places.",4 stars
Not so much fast food but still good food.,4 stars
Slow service. Car park was rammed and difficult to move around due to the drive through vehicles being in the way!!(not really the fault of the restaurant except they could mark the lanes out better in the car park).,3 stars
Pretty cool place! Very busy as expected but they served pretty bb fast.,5 stars
Delicious hamburgers that definitely weigh on your belly on your way to bed and if you want to take a quick nap on a full belly  McDonald's is the place to go,4 stars
Fast friendly service at this location which appears to have been recently remodeled. Lots of senior citizens eating breakfast in the lobby which is usually a tipoff of high quality service.,5 stars
"Horrible experience, hungry after a long day at Disney, we stopped in for a late dinner.took forever to take our order and even longer to get our order. definitely felt unwanted",1 star
They improved so much the Caramel Iced coffee and they have a sugar free vanilla Iced coffee low calories and tastes really good. Best prices too.,4 stars
Good prices for large diet coke and ice cream cone.,4 stars
"Food cold and forgot items, food was replaced so only 2 star I'm afraid",2 stars
"My son got a vanilla milkshake it looked soupy and he tasted it and he said it had a off taste to it I told him throw it away, in a few minutes he was sick to his tummy . So beware .",1 star
"DOOR IS LOCKED EVERY SINGLE DAY!
HIGLY RUDE AND DISRESPECTFUL!
LETTECE IS SPOILED ALWAYS!
DO NOT RECOMMEND ANY MC DONALD'S IN KISSIMMEE!",1 star
"SLOWEST McDonald's I have EVER been too... secind time in 3 days coming here, first time was about 25 in druve thru, before ordering.. now been sitting here 15 mins, haven't even ordered yet.. long line but i have been in longer and taken care of...",1 star
Ridiculous staff was lazy rude and slow bathroom was disgusting I did not eat there and I was hungry so I just left,1 star
It was very crowded but the service was fast and the food was fresh.,4 stars
"The trash cans were overflowing, there were multiple spills on the ground that weren't bothered to clean, and every table was dirty. Food took 27 minutes and when it finally came it was cold. Never again",1 star
Only place open late on a week night so the wait time was extremely long.,4 stars
"Great place to have a cup of coffee. If you are on the keto diet, McDonald's has whipped butter. Yes it's real butter. Along with half and half. You could ask for whipped cream. Believe me there coffee tastes much better with butter  and cream in it .  They do not have Stevia . They can make you a keto breakfast. Which is eggs bacon and sausage layered.",4 stars
"Understaffed,   slow as a result.    Those that are working,  are courteous and apologetic..  what I don't understand is considering the location,  (Disney area)  that this McDonald's isn't better staffed.",3 stars
They're not bad. So far I've never had them get an order wrong,5 stars
For pure volume pretty darn efficient. Clean too all things considered.Use auto order screens. Faster. Didn't try drive thru,4 stars
Sat in drive thru for 30 minutes. Food was cold. Manager extremely rude. Go elsewhere. This location is horrible.,1 star
Very clean.  Attentive staff.  As always reliable and delicious food.,4 stars
"My cousin assumed that we wanted 2 apple slices and 1 go-gurt, but we quickly changed to 1apple slice and 2 go-gurts, but they gave us what we first ordered. The food was rrreeeaaalllyyy ggoodd though! Mmm mmm mmm.",4 stars
"I ordered a caramel frappe with no whip cream. Upon getting my Carmel frappe there was whip cream. They were upset when I requested they fix my order to meet the way I ordered. When they handed it back to my husband, they had scooped out the whip cream and another quarter of the frappe. Very rude about it as well.",1 star
EVERY TIME THEY FORGET SOMETHING. And i mean everytime. I have heard conversations about general nonsense take priority over customers while waiting. The employees generally juat dont seem to care with the exception of a few,2 stars
Stopped on my way to work at 6:15 in the morning drive thru full only about 5 people in the inside line . Waited bout 8 minutes no one took my order . Slow service and everyone speaking Spanish.  Walked out no food,1 star
Disappointed - claimed Egg Mc muffin deal was over and charged outlandish price! Service not great - wrong coffee received after ordering DECAF and NO cream given...,1 star
It's always helpful when the staff is so cheerful and nice and they have great customer service!,5 stars
Food was good but it took 35-40 mins to get it through drive thru,3 stars
"It was terrible, took forever. Only giving 2 stars because the McMuffin was good.",2 stars
I've never been to such a horrible restaurant like this. It took over 1 hour to get fries and a McFlurry. Stay as far away as you can from this McDonald's. Nasty dirty facility too.,1 star
"Very nice McDonald's, it was clean and the employees are very polite and friendly. The play area for the kids is different than others I have seen & the menu was electronic, which was a little annoying being that I was in a bit of a rush.",5 stars
I didn't get much sugar for my coffee all milk and day getting served my Burger not my Burger my sausage mcmuffin didn't give it to me in the morning They got me for some money not a pleasant place to go when you hungry you want your food,2 stars
Horrifically slow even when nobody is in line. The worst Mcdonalds I've been to speed wise. We gave it three tries and it was slow each time.,1 star
Every time I go there it always a long line when you drive pass the window you see employees standing around talking and laughing. They need move a little faster.,5 stars
Never once have I gotten my coffee done right. Cream in sugar out. I got 35 cream in my bag. It was 8 cream in. I got no sugar. Crazy,2 stars
Took 10 minutes to take my cash for order.then another 20 minutes to get my food.which was missing the drink for the happy meal. Not good,1 star
"Terrible service, I think hands down worst mcdonalds I have ever been too. Manager wouldn't even come over to help. Absolute joke of a mcdonalds. Go 1 mile down either way and you will be much happier.",1 star
"Not to thrilled with this one anymore,  used to love it when it was the world biggest McDonalds. Now it's like the others except for a few items on the menu.  Plus they got rid of the life size Ronald McDonald.",2 stars
